Upper Cook Inlet commercial harvest by day by species 1985 to 2014,,,,,,,,
,,,,,,,,
,,,,Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum)
Batch Year,Date Fishing Began (MM/DD),Stat Area Name,Stat Area,"salmon, chinook","salmon, chum","salmon, coho","salmon, pink","salmon, sockeye"
1985,08/01,Ninilchik,24421,171,1,"1,080",169,"5,501"
1985,08/01,Polly Creek,24540,3,197,"1,537",16,"1,140"
1985,08/01,Silver Salmon,24520,1,93,343,2,678
1985,08/01,Tuxedni Bay,24530,1,109,177,4,599
1985,08/01,Unknown,24430,226,2,547,46,"6,704"
1985,08/01,Unknown,24440,181,70,"1,253",228,"6,451"
1985,08/01,,24450,4,"2,980",480,125,"2,411"
1985,08/01,,24460,62,"4,096",881,215,"4,998"
1985,08/02,#3 Bay,24790,,,6,15,296
1985,08/02,Beluga,24730,3,125,285,720,"1,087"
1985,08/02,Birch Hill,24780,,2,7,8,106
1985,08/02,Chinitna,24510,,541,288,10,19
1985,08/02,Cohn,24422,86,6,"1,030",178,"13,457"
1985,08/02,East Side,24620,7,76,"4,298",134,"3,621"
1985,08/02,Fire Island,24743,,12,90,11,118
1985,08/02,Little Jack Slough,24550,,,465,,167
1985,08/02,Ninilchik,24421,191,12,"1,745",171,"7,125"
1985,08/02,Polly Creek,24540,2,413,"1,057",23,"1,210"
1985,08/02,Pt. Mackenzie,24742,,47,146,4,369
1985,08/02,Pt. Possession,24770,,8,81,32,318
1985,08/02,Silver Salmon,24520,3,70,464,17,733
1985,08/02,Susitna Flats,24741,,54,96,25,263
1985,08/02,Trading Bay,24710,,27,177,104,157
1985,08/02,Tuxedni Bay,24530,4,792,776,23,"3,811"
1985,08/02,Tyonek,24720,3,104,393,909,"1,271"
1985,08/02,Unknown,24430,238,15,"1,383",165,"13,666"
1985,08/02,Unknown,24440,173,37,921,537,"4,265"
1985,08/02,West Foreland,24560,,1,179,57,236
1985,08/02,West Side,24610,4,160,"2,770",172,"1,970"
1985,08/02,,24450,25,"20,551","4,722",663,"15,259"
1985,08/02,,24460,18,"37,024","12,247","1,323","42,822"
1985,08/02,,24470,3,"8,294","2,620",306,"8,974"
1985,08/02,,24570,,"1,125",210,40,"1,026"
1985,08/02,,24580,1,"7,002","1,715",170,"5,865"
1985,08/02,,24590,18,"8,003","3,882",314,"9,473"
1985,08/03,Cohn,24422,97,7,"1,329",74,"13,903"
1985,08/03,Little Jack Slough,24550,,1,634,16,165
