Upper Cook Inlet commercial harvest by day by species 1985 to 2014,,,,,,,,
,,,,,,,,
,,,,Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum)
Batch Year,Date Fishing Began (MM/DD),Stat Area Name,Stat Area,"salmon, chinook","salmon, chum","salmon, coho","salmon, pink","salmon, sockeye"
1985,08/03,Ninilchik,24421,177,12,"2,057",94,"7,561"
1985,08/03,Polly Creek,24540,4,782,"1,412",14,"1,779"
1985,08/03,Silver Salmon,24520,,5,137,,337
1985,08/03,Tuxedni Bay,24530,1,215,232,4,"1,562"
1985,08/03,Unknown,24430,132,11,"1,211",37,"14,770"
1985,08/03,Unknown,24440,67,107,"1,469",264,"7,361"
1985,08/03,West Side,24610,,11,16,1,44
1985,08/03,,24450,32,"2,601",942,66,"4,518"
1985,08/03,,24460,10,"3,538","1,597",87,"6,430"
1985,08/04,Cohn,24422,74,1,485,32,"7,291"
1985,08/04,East Side,24620,8,129,"2,173",30,"2,292"
1985,08/04,Little Jack Slough,24550,,4,540,1,99
1985,08/04,Ninilchik,24421,134,4,"1,388",76,"6,895"
1985,08/04,Polly Creek,24540,3,196,653,6,669
1985,08/04,Tuxedni Bay,24530,8,"1,026","1,284",14,"5,168"
1985,08/04,Unknown,24430,114,3,820,30,"8,101"
1985,08/04,Unknown,24440,62,109,"1,130",131,"4,571"
1985,08/04,West Side,24610,1,13,571,,360
1985,08/04,,24450,20,"3,365",559,113,"3,137"
1985,08/04,,24460,14,"6,138",787,133,"6,201"
1985,08/05,#3 Bay,24790,1,,10,3,254
1985,08/05,Beluga,24730,2,592,582,"1,268","1,719"
1985,08/05,Birch Hill,24780,,1,,2,34
1985,08/05,Chinitna,24510,,347,173,10,6
1985,08/05,Cohn,24422,72,7,825,29,"8,461"
1985,08/05,East Side,24620,6,260,"2,829",31,"3,039"
1985,08/05,Fire Island,24743,,20,115,10,127
1985,08/05,Little Jack Slough,24550,1,12,"1,412",28,276
1985,08/05,Ninilchik,24421,213,6,"1,947",45,"5,169"
1985,08/05,Polly Creek,24540,,628,650,6,791
1985,08/05,Pt. Mackenzie,24742,,29,124,2,66
1985,08/05,Pt. Possession,24770,,9,61,13,162
1985,08/05,Silver Salmon,24520,2,160,402,1,503
1985,08/05,Susitna Flats,24741,,7,103,13,116
1985,08/05,Trading Bay,24710,2,66,671,241,411
1985,08/05,Tuxedni Bay,24530,2,"1,011",744,10,"2,302"
1985,08/05,Tyonek,24720,2,73,215,277,597
1985,08/05,Unknown,24430,128,12,809,37,"8,696"
1985,08/05,Unknown,24440,49,89,749,153,"3,095"
1985,08/05,West Foreland,24560,,51,424,56,350
1985,08/05,West Side,24610,5,219,"1,582",55,"1,301"
1985,08/05,,24450,6,"15,702","3,039",167,"5,268"
1985,08/05,,24460,17,"26,731","9,676",489,"16,820"
1985,08/05,,24470,12,"1,880",833,24,"1,348"
1985,08/05,,24570,,108,,1,23
1985,08/05,,24580,1,"6,119","2,409",102,"3,825"
1985,08/05,,24590,2,"1,297",685,33,"1,145"
1985,08/06,Cohn,24422,95,257,"1,191",45,"6,351"
1985,08/06,Little Jack Slough,24550,,2,63,,24
1985,08/06,Ninilchik,24421,129,251,"1,652",36,"3,708"
1985,08/06,Polly Creek,24540,3,876,623,10,484
1985,08/06,Silver Salmon,24520,1,16,298,1,291
1985,08/06,Tuxedni Bay,24530,1,414,380,4,"1,077"
1985,08/06,Unknown,24430,121,4,885,15,"6,194"
1985,08/06,Unknown,24440,90,104,"1,566",102,"6,753"
1985,08/06,West Side,24610,,45,22,2,102
1985,08/09,#3 Bay,24790,,5,636,11,758
1985,08/09,Beluga,24730,1,"1,826","1,035",8,318
1985,08/09,Birch Hill,24780,,9,374,4,217
1985,08/09,Cohn,24422,38,4,691,21,"2,248"
1985,08/09,East Side,24620,,79,893,5,"4,857"
1985,08/09,Fire Island,24743,,37,281,7,76
1985,08/09,Little Jack Slough,24550,,3,"1,289",3,99
1985,08/09,Ninilchik,24421,41,3,"1,234",29,"3,596"
1985,08/09,Polly Creek,24540,1,"1,315",362,1,161
1985,08/09,Pt. Mackenzie,24742,,67,428,,7
1985,08/09,Pt. Possession,24770,3,246,"1,384",24,524
1985,08/09,Silver Salmon,24520,,,343,2,106
1985,08/09,Trading Bay,24710,,205,497,20,137
1985,08/09,Tuxedni Bay,24530,4,"1,628",889,6,787
1985,08/09,Tyonek,24720,,"1,022","1,098",829,327
1985,08/09,Unknown,24430,71,2,838,6,"2,536"
1985,08/09,Unknown,24440,62,104,"1,726",41,"4,484"
1985,08/09,West Foreland,24560,,72,637,14,70
1985,08/09,West Side,24610,,211,"1,058",42,"1,503"
1985,08/09,,24450,41,"7,000","2,103",88,"1,789"
1985,08/09,,24460,4,"7,773","1,730",192,"2,110"
1985,08/09,,24470,,99,19,1,17
1985,08/09,,24570,,297,88,5,30
1985,08/09,,24580,,47,18,2,16
1985,08/09,,24590,,116,80,5,17
1985,08/12,#3 Bay,24790,,36,497,8,481
1985,08/12,Beluga,24730,,106,63,2,31
1985,08/12,Birch Hill,24780,,20,215,5,176
1985,08/12,Cohn,24422,23,142,"1,344",38,"2,426"
1985,08/12,East Side,24620,,7,451,,"3,865"
1985,08/12,Fire Island,24743,,5,99,,11
1985,08/12,Little Jack Slough,24550,,,294,3,52
1985,08/12,Ninilchik,24421,36,152,"1,670",67,"6,172"
1985,08/12,Polly Creek,24540,,855,190,,52
1985,08/12,Pt. Mackenzie,24742,,36,114,,
1985,08/12,Pt. Possession,24770,1,366,"1,136",38,544
1985,08/12,Trading Bay,24710,,124,390,4,100
1985,08/12,Tuxedni Bay,24530,,"1,180",627,6,232
1985,08/12,Tyonek,24720,,464,399,98,122
1985,08/12,Unknown,24430,50,31,668,12,"2,579"
1985,08/12,Unknown,24440,27,161,"1,214",40,"2,998"
1985,08/12,West Foreland,24560,,,96,,30
1985,08/12,West Side,24610,,12,377,3,800
1985,08/12,,24450,13,"1,617",553,13,656
1985,08/12,,24460,,717,468,2,494
1985,08/12,,24470,,47,32,,19
1985,08/12,,24570,,,5,,1
1985,08/12,,24580,,43,48,2,17
1985,08/12,,24590,,102,141,5,7
1985,08/16,#3 Bay,24790,,6,"1,087",4,495
1985,08/16,Beluga,24730,,2,48,,7
1985,08/16,Birch Hill,24780,,3,210,1,57
1985,08/16,East Side,24620,1,7,458,4,"3,844"
1985,08/16,Little Jack Slough,24550,1,1,678,1,147
1985,08/16,Polly Creek,24540,,385,90,,14
1985,08/16,Pt. Mackenzie,24742,,117,31,,2
1985,08/16,Pt. Possession,24770,,74,719,9,176
1985,08/16,Silver Salmon,24520,,34,"1,061",3,57
1985,08/16,Trading Bay,24710,,72,242,,45
1985,08/16,Tuxedni Bay,24530,,291,606,4,266
1985,08/16,Tyonek,24720,,186,444,15,23
1985,08/16,West Foreland,24560,,23,198,2,15
1985,08/16,West Side,24610,1,40,410,5,"1,083"
1985,08/16,,24450,1,183,201,5,61
1985,08/16,,24460,1,673,535,11,134
1985,08/16,,24470,,208,642,3,29
1985,08/16,,24570,,6,97,1,19
1985,08/16,,24580,,318,354,5,76
1985,08/16,,24590,,121,154,2,3
1985,08/19,#3 Bay,24790,,29,433,1,163
1985,08/19,Birch Hill,24780,,3,89,,22
1985,08/19,East Side,24620,,49,"1,301",1,"1,698"
1985,08/19,Little Jack Slough,24550,,12,392,1,42
1985,08/19,Polly Creek,24540,,285,303,2,15
1985,08/19,Pt. Possession,24770,,6,114,1,41
1985,08/19,Silver Salmon,24520,1,8,760,1,28
1985,08/19,Trading Bay,24710,,2,65,,
1985,08/19,Tuxedni Bay,24530,,241,610,5,78
1985,08/19,Tyonek,24720,,94,79,4,5
1985,08/19,West Foreland,24560,,18,60,,4
1985,08/19,West Side,24610,,27,168,4,358
1985,08/19,,24450,,458,220,2,34
1985,08/19,,24460,,234,506,2,30
1985,08/19,,24470,,52,457,1,4
1985,08/19,,24580,,111,620,2,80
1985,08/19,,24590,,137,"1,463",9,6
1985,08/21,#3 Bay,24790,1,24,139,1,27
1985,08/21,Birch Hill,24780,,6,34,,2
1985,08/21,East Side,24620,2,26,"1,841",1,957
1985,08/21,Little Jack Slough,24550,,22,565,1,20
1985,08/21,Polly Creek,24540,,225,211,,15
1985,08/21,Pt. Possession,24770,,22,77,,13
1985,08/21,Silver Salmon,24520,,11,"1,096",2,20
1985,08/21,Tuxedni Bay,24530,,97,423,3,30
1985,08/21,Tyonek,24720,,49,156,8,10
1985,08/21,West Foreland,24560,,18,50,,
1985,08/21,West Side,24610,,60,566,,264
1985,08/21,,24450,3,49,148,1,5
1985,08/21,,24570,,,413,3,25
1985,08/21,,24580,,77,387,1,7
1985,08/21,,24590,,29,800,10,
1985,08/23,#3 Bay,24790,2,10,664,3,97
1985,08/23,Birch Hill,24780,,3,101,,7
1985,08/23,Chinitna,24510,1,"1,299","4,956",10,3
1985,08/23,East Side,24620,2,12,"1,281",1,413
1985,08/23,Little Jack Slough,24550,,11,210,,2
1985,08/23,Polly Creek,24540,,71,213,,6
1985,08/23,Pt. Possession,24770,,46,674,1,17
1985,08/23,Silver Salmon,24520,,4,677,1,8
1985,08/23,Trading Bay,24710,,26,57,2,4
1985,08/23,Tuxedni Bay,24530,,89,434,,20
1985,08/23,Tyonek,24720,,241,279,15,6
1985,08/23,West Foreland,24560,,53,158,,4
1985,08/23,West Side,24610,,21,245,,128
1985,08/23,,24450,,14,18,,
1985,08/23,,24460,,10,121,1,9
1985,08/23,,24570,,4,75,,13
1985,08/23,,24590,,29,191,,7
1985,08/26,#3 Bay,24790,,6,380,2,20
1985,08/26,Birch Hill,24780,,,44,,
1985,08/26,Chinitna,24510,2,925,"7,553",8,10
1985,08/26,East Side,24620,1,12,975,,290
1985,08/26,Little Jack Slough,24550,,1,132,,9
1985,08/26,Polly Creek,24540,,29,203,,2
1985,08/26,Pt. Possession,24770,,7,664,2,10
1985,08/26,Silver Salmon,24520,,7,"1,112",,15
1985,08/26,Trading Bay,24710,,34,154,,3
1985,08/26,Tuxedni Bay,24530,,105,567,,17
1985,08/26,Tyonek,24720,,139,321,11,4
1985,08/26,West Foreland,24560,1,9,117,1,1
1985,08/26,West Side,24610,,18,271,,117
1985,08/26,,24570,,,314,,
1985,08/26,,24580,,25,241,,3
1985,08/26,,24590,,7,73,1,2
1985,08/28,#3 Bay,24790,,7,482,,31
1985,08/28,Birch Hill,24780,,,42,,1
1985,08/28,East Side,24620,1,60,"1,044",,330
1985,08/28,Little Jack Slough,24550,,1,445,,7
1985,08/28,Polly Creek,24540,,6,197,,3
1985,08/28,Pt. Possession,24770,,4,193,,3
1985,08/28,Silver Salmon,24520,,12,775,,13
1985,08/28,Tuxedni Bay,24530,,72,680,,33
1985,08/28,Tyonek,24720,,112,233,3,3
1985,08/28,West Foreland,24560,,8,89,,1
1985,08/28,West Side,24610,,44,160,1,70
1985,08/28,,24470,,11,142,,1
1985,08/28,,24570,,4,393,,6
1985,08/28,,24590,,71,"2,069",5,12
1985,08/30,#3 Bay,24790,,7,251,,11
1985,08/30,Chinitna,24510,,718,"7,995",1,3
1985,08/30,East Side,24620,,17,760,1,228
1985,08/30,Little Jack Slough,24550,,2,177,,3
1985,08/30,Polly Creek,24540,,,284,,7
1985,08/30,Pt. Possession,24770,,49,155,6,1
1985,08/30,Silver Salmon,24520,1,2,612,1,11
1985,08/30,Tuxedni Bay,24530,,65,471,,18
1985,08/30,Tyonek,24720,,99,220,4,1
1985,08/30,,24570,,,250,,4
1985,08/30,,24580,,7,154,,1
1985,08/30,,24590,,49,55,,2
1985,09/02,#3 Bay,24790,,1,317,,13
1985,09/02,Chinitna,24510,,126,"1,182",,1
1985,09/02,East Side,24620,,4,"1,057",,227
1985,09/02,Little Jack Slough,24550,,1,17,,
1985,09/02,Pt. Possession,24770,,7,305,3,2
1985,09/02,Silver Salmon,24520,,4,657,,9
1985,09/02,Trading Bay,24710,,97,273,,
1985,09/02,Tuxedni Bay,24530,,22,194,,6
1985,09/02,Tyonek,24720,,11,54,1,
1985,09/02,West Foreland,24560,,20,139,,
1985,09/02,,24590,,3,44,,1
1985,09/04,#3 Bay,24790,,1,382,,8
1985,09/04,Birch Hill,24780,,,31,,3
1985,09/04,East Side,24620,,5,812,,127
1985,09/04,Pt. Possession,24770,,9,423,,1
1985,09/04,Silver Salmon,24520,,7,643,,20
1985,09/04,Tuxedni Bay,24530,,55,294,,
1985,09/04,Tyonek,24720,,47,149,,2
1985,09/04,,24570,,2,155,,
1985,09/04,,24580,,,147,,
1985,09/04,,24590,,25,749,,2
1985,09/06,#3 Bay,24790,1,1,147,,3
1985,09/06,Birch Hill,24780,,,27,,
1985,09/06,Chinitna,24510,,37,629,1,4
1985,09/06,East Side,24620,,6,"1,052",,128
1985,09/06,Pt. Possession,24770,,9,270,,2
1985,09/06,Silver Salmon,24520,,6,725,,13
1985,09/06,Tuxedni Bay,24530,,44,332,1,8
1985,09/06,Tyonek,24720,,14,63,3,
1985,09/06,,24460,,2,243,,4
1985,09/06,,24570,,4,260,,14
1985,09/06,,24590,,3,223,1,
1985,09/09,#3 Bay,24790,,,166,,4
1985,09/09,Birch Hill,24780,,,16,,
1985,09/09,Chinitna,24510,,39,292,,
1985,09/09,East Side,24620,,,198,,14
1985,09/09,Pt. Possession,24770,,2,341,,
1985,09/09,Silver Salmon,24520,,,397,,4
1985,09/09,Tuxedni Bay,24530,,10,56,,
1985,09/09,Tyonek,24720,,10,61,,
1985,09/09,West Side,24610,,,370,,107
1985,09/09,,24570,,1,112,,7
1985,09/09,,24590,,,232,,
1985,09/11,#3 Bay,24790,,2,135,,
1985,09/11,Birch Hill,24780,,,10,,
1985,09/11,East Side,24620,,,438,,32
1985,09/11,Pt. Possession,24770,,9,204,,52
1985,09/11,Silver Salmon,24520,,1,291,,2
1985,09/11,Tuxedni Bay,24530,,2,73,,1
1985,09/11,Tyonek,24720,,15,71,,
1985,09/11,West Side,24610,,,150,,14
1985,09/11,,24570,,6,78,,4
1985,09/11,,24590,,,106,,
1985,09/13,#3 Bay,24790,,1,15,,
1985,09/13,Silver Salmon,24520,,2,80,,1
1985,09/13,Tuxedni Bay,24530,,5,34,,1
1985,09/13,Tyonek,24720,,18,63,,1
1985,09/13,West Side,24610,,,274,,32
1985,09/13,,24570,,,104,,4
1985,09/16,#3 Bay,24790,,,25,,
1985,09/16,Pt. Possession,24770,,2,17,,3
1985,09/16,Trading Bay,24710,,9,208,,
1985,09/18,#3 Bay,24790,,,3,,
1985,09/18,,24570,,,23,,
1985,09/20,#3 Bay,24790,,,10,,
1985,09/20,Pt. Possession,24770,,,20,,
1985,09/23,#3 Bay,24790,,,2,,
1985,09/23,Pt. Possession,24770,,,21,,2
1985,09/25,#3 Bay,24790,,,2,,1
1985,09/25,Pt. Possession,24770,,,3,,
1986,06/02,#3 Bay,24790,67,,,,33
1986,06/02,Beluga,24730,955,,,,3
1986,06/02,Birch Hill,24780,60,,,,18
1986,06/02,Fire Island,24743,3,,,,2
1986,06/02,Pt. Possession,24770,173,,,,106
1986,06/02,Susitna Flats,24741,73,,,,3
1986,06/02,Trading Bay,24710,787,,,,42
1986,06/02,Tyonek,24720,"1,724",,2,,
1986,06/09,#3 Bay,24790,283,,,,109
1986,06/09,Beluga,24730,"1,448",,,,41
1986,06/09,Birch Hill,24780,175,,,,61
1986,06/09,Fire Island,24743,161,,,,27
1986,06/09,Pt. Mackenzie,24742,117,,,,88
1986,06/09,Pt. Possession,24770,690,,,,284
1986,06/09,Susitna Flats,24741,538,,,,26
1986,06/09,Trading Bay,24710,600,,,,146
1986,06/09,Tyonek,24720,"1,206",,,,15
1986,06/16,#3 Bay,24790,60,,,,154
1986,06/16,Beluga,24730,"1,305",,,,41
1986,06/16,Birch Hill,24780,72,,,,78
1986,06/16,Fire Island,24743,177,,,,9
1986,06/16,Little Jack Slough,24550,27,,,,29
1986,06/16,Polly Creek,24540,141,,,,147
1986,06/16,Pt. Possession,24770,209,1,,,131
1986,06/16,Susitna Flats,24741,558,,,,5
1986,06/16,Trading Bay,24710,"1,368",,,,199
1986,06/16,Tuxedni Bay,24530,379,2,1,,293
1986,06/16,Tyonek,24720,962,,,,40
1986,06/20,Little Jack Slough,24550,2,,,,1
1986,06/20,Polly Creek,24540,20,1,4,2,73
1986,06/20,Tuxedni Bay,24530,52,1,2,1,355
1986,06/23,Little Jack Slough,24550,,,,,57
1986,06/23,Polly Creek,24540,7,,2,,360
1986,06/23,Silver Salmon,24520,15,,23,,219
1986,06/23,Tuxedni Bay,24530,22,5,5,,451
1986,06/27,#3 Bay,24790,72,,8,,216
1986,06/27,Beluga,24730,152,9,18,1,13
1986,06/27,Big River,24555,30,,29,,147
1986,06/27,Birch Hill,24780,17,,1,,55
1986,06/27,Chinitna,24510,3,7,8,,691
1986,06/27,East Side,24620,35,1,87,,"1,878"
1986,06/27,Fire Island,24743,33,,3,1,2
1986,06/27,Little Jack Slough,24550,23,,12,,116
1986,06/27,Polly Creek,24540,47,2,58,,896
1986,06/27,Pt. Mackenzie,24742,4,,,,3
1986,06/27,Pt. Possession,24770,43,1,4,,37
1986,06/27,Silver Salmon,24520,2,,,,14
1986,06/27,Susitna Flats,24741,25,3,,,2
1986,06/27,Trading Bay,24710,177,8,30,,80
1986,06/27,Tuxedni Bay,24530,56,13,56,1,"1,699"
1986,06/27,Tyonek,24720,320,16,54,,67
1986,06/27,West Foreland,24560,83,,42,,95
1986,06/27,West Side,24610,46,1,168,,"2,149"
1986,06/27,,24450,1,2,8,,96
1986,06/27,,24460,14,183,206,1,"2,687"
1986,06/27,,24470,21,401,429,9,"5,260"
1986,06/27,,24570,,2,1,,44
1986,06/27,,24580,31,366,424,14,"5,823"
1986,06/27,,24590,61,798,987,35,"10,423"
1986,06/30,#3 Bay,24790,27,,14,,221
1986,06/30,Beluga,24730,150,,12,,1
1986,06/30,Big River,24555,30,,46,,327
1986,06/30,Birch Hill,24780,6,,3,,21
1986,06/30,Chinitna,24510,7,37,7,5,349
1986,06/30,East Side,24620,44,11,107,2,"1,801"
1986,06/30,Fire Island,24743,5,,1,,2
1986,06/30,Little Jack Slough,24550,28,,35,,143
1986,06/30,Polly Creek,24540,67,4,63,4,339
1986,06/30,Pt. Mackenzie,24742,1,,,,
1986,06/30,Pt. Possession,24770,16,,4,,20
1986,06/30,Silver Salmon,24520,6,6,43,,175
1986,06/30,Trading Bay,24710,95,1,13,,26
1986,06/30,Tuxedni Bay,24530,102,40,174,2,"1,826"
1986,06/30,Tyonek,24720,89,,32,,35
1986,06/30,West Foreland,24560,68,1,21,,103
1986,06/30,West Side,24610,74,4,356,2,"2,081"
1986,06/30,,24450,,,,,2
1986,06/30,,24460,14,768,765,5,"3,157"
1986,06/30,,24470,22,"2,459","2,794",27,"12,539"
1986,06/30,,24570,,14,9,,123
1986,06/30,,24580,21,818,954,13,"4,544"
1986,06/30,,24590,52,"3,386","4,822",40,"21,885"
1986,07/02,Cohn,24422,10,,,25,251
1986,07/03,Cohn,24422,554,2,49,4,"10,603"
1986,07/03,Ninilchik,24421,279,,45,1,"9,244"
1986,07/03,Unknown,24430,216,,64,3,"4,497"
1986,07/04,#3 Bay,24790,6,1,43,1,375
1986,07/04,Beluga,24730,62,7,208,,72
1986,07/04,Big River,24555,2,,112,,97
1986,07/04,Birch Hill,24780,1,,34,13,95
1986,07/04,Chinitna,24510,,351,22,6,"1,000"
1986,07/04,Cohn,24422,219,2,18,6,"4,412"
1986,07/04,East Side,24620,21,1,249,,717
1986,07/04,Fire Island,24743,10,2,23,,18
1986,07/04,Little Jack Slough,24550,1,,46,,44
1986,07/04,Ninilchik,24421,191,1,26,4,"6,695"
1986,07/04,Polly Creek,24540,15,31,123,,640
1986,07/04,Pt. Mackenzie,24742,5,,25,,9
1986,07/04,Pt. Possession,24770,13,1,142,14,256
1986,07/04,Silver Salmon,24520,,1,8,,106
1986,07/04,Susitna Flats,24741,14,5,44,,13
1986,07/04,Trading Bay,24710,54,9,199,1,99
1986,07/04,Tuxedni Bay,24530,66,100,97,3,"3,058"
1986,07/04,Tyonek,24720,25,9,151,2,94
1986,07/04,Unknown,24430,153,1,34,3,"2,213"
1986,07/04,Unknown,24440,182,1,92,4,791
1986,07/04,West Foreland,24560,34,,168,1,182
1986,07/04,West Side,24610,32,5,745,1,423
1986,07/04,,24450,3,386,206,5,328
1986,07/04,,24460,22,"3,784","5,235",44,"15,524"
1986,07/04,,24470,71,"8,322","14,636",76,"52,818"
1986,07/04,,24570,3,182,33,3,113
1986,07/04,,24580,21,"3,184","4,433",30,"13,641"
1986,07/04,,24590,62,"9,709","16,406",66,"66,412"
1986,07/07,#3 Bay,24790,1,,19,,231
1986,07/07,Beluga,24730,5,,147,2,13
1986,07/07,Big River,24555,2,,95,,65
1986,07/07,Birch Hill,24780,,,5,,15
1986,07/07,Chinitna,24510,,42,10,,827
1986,07/07,Cohn,24422,310,155,13,29,"2,466"
1986,07/07,East Side,24620,48,,"1,004",7,328
1986,07/07,Fire Island,24743,,1,7,,5
1986,07/07,Little Jack Slough,24550,1,,137,,60
1986,07/07,Ninilchik,24421,572,1,38,39,"20,021"
1986,07/07,Polly Creek,24540,7,10,137,1,287
1986,07/07,Pt. Mackenzie,24742,,1,9,,3
1986,07/07,Pt. Possession,24770,2,1,34,1,24
1986,07/07,Silver Salmon,24520,1,3,30,,149
1986,07/07,Susitna Flats,24741,,,6,,
1986,07/07,Trading Bay,24710,24,,137,1,30
1986,07/07,Tuxedni Bay,24530,31,101,203,6,"1,905"
1986,07/07,Tyonek,24720,4,,46,1,18
1986,07/07,Unknown,24430,115,,10,22,756
1986,07/07,Unknown,24440,58,,23,15,146
1986,07/07,West Foreland,24560,9,,56,5,14
1986,07/07,West Side,24610,46,,"2,049",8,419
1986,07/07,,24450,5,449,769,22,"4,483"
1986,07/07,,24460,15,"5,040","9,681",365,"44,134"
1986,07/07,,24470,36,"8,185","18,268",670,"91,369"
1986,07/07,,24570,,121,258,6,"1,001"
1986,07/07,,24580,2,"1,821","3,443",110,"16,087"
1986,07/07,,24590,18,"6,293","13,905",388,"71,453"
1986,07/08,,24470,,43,87,1,360
1986,07/11,#3 Bay,24790,1,,6,28,376
1986,07/11,Beluga,24730,11,8,149,59,20
1986,07/11,Big River,24555,3,,62,1,79
1986,07/11,Birch Hill,24780,4,,1,36,90
1986,07/11,Chinitna,24510,,189,10,24,297
1986,07/11,Cohn,24422,334,3,31,181,"3,452"
1986,07/11,East Side,24620,23,,118,33,211
1986,07/11,Fire Island,24743,,,17,,10
1986,07/11,Little Jack Slough,24550,,,56,,32
1986,07/11,Ninilchik,24421,"1,165",3,100,561,"25,749"
1986,07/11,Polly Creek,24540,25,9,214,2,369
1986,07/11,Pt. Possession,24770,3,60,133,181,181
1986,07/11,Silver Salmon,24520,6,6,87,2,350
1986,07/11,Susitna Flats,24741,3,3,15,9,7
1986,07/11,Trading Bay,24710,11,,83,23,16
1986,07/11,Tuxedni Bay,24530,24,117,165,5,"1,405"
1986,07/11,Tyonek,24720,14,6,73,23,40
1986,07/11,Unknown,24430,191,,42,114,"3,595"
1986,07/11,Unknown,24440,22,,53,154,220
1986,07/11,West Foreland,24560,4,,47,11,23
1986,07/11,West Side,24610,24,6,692,103,238
1986,07/11,,24460,124,"35,859","43,786","9,638","164,359"
1986,07/11,,24470,18,"8,193","11,161","2,773","41,766"
1986,07/11,,24570,,154,366,30,587
1986,07/11,,24580,49,"18,192","27,019","5,625","97,800"
1986,07/11,,24590,26,"10,548","13,925","2,819","51,840"
1986,07/12,West Side,24610,5,3,417,59,628
1986,07/13,Cohn,24422,120,2,98,118,"28,783"
1986,07/13,Ninilchik,24421,73,,13,34,"13,005"
1986,07/13,Unknown,24430,235,4,283,71,"23,918"
1986,07/14,#3 Bay,24790,2,94,646,"1,112","3,387"
1986,07/14,Beluga,24730,20,"3,236","9,347","2,675","2,904"
1986,07/14,Big River,24555,,,663,2,304
1986,07/14,Birch Hill,24780,1,121,699,936,"1,732"
1986,07/14,Chinitna,24510,2,705,45,48,151
1986,07/14,Cohn,24422,640,6,266,303,"52,703"
1986,07/14,East Side,24620,18,1,"1,169",41,558
1986,07/14,Fire Island,24743,2,85,196,32,168
1986,07/14,Little Jack Slough,24550,,1,311,,205
1986,07/14,Ninilchik,24421,427,4,158,329,"58,122"
1986,07/14,Polly Creek,24540,12,53,507,18,904
1986,07/14,Pt. Mackenzie,24742,,149,256,50,159
1986,07/14,Pt. Possession,24770,2,465,"1,238","1,195","2,963"
1986,07/14,Silver Salmon,24520,5,27,191,7,"1,349"
1986,07/14,Susitna Flats,24741,1,336,961,105,211
1986,07/14,Trading Bay,24710,24,485,"5,313","3,121","1,510"
1986,07/14,Tuxedni Bay,24530,10,290,335,8,"3,669"
1986,07/14,Tyonek,24720,4,535,"2,913","1,717","1,460"
1986,07/14,Unknown,24430,627,,379,168,"31,247"
1986,07/14,Unknown,24440,347,195,"1,441","2,321","10,323"
1986,07/14,West Foreland,24560,4,,"1,141",281,397
1986,07/14,West Side,24610,11,29,"2,037",203,770
1986,07/14,,24450,6,"21,328","7,518","5,510","26,213"
1986,07/14,,24460,98,"74,137","34,218","26,194","230,605"
1986,07/14,,24470,18,"17,831","8,865","7,233","58,166"
1986,07/14,,24570,11,"1,159",285,268,"1,757"
1986,07/14,,24580,16,"16,019","8,463","6,587","50,476"
1986,07/14,,24590,4,"11,382","5,347","3,712","30,768"
1986,07/15,Cohn,24422,252,3,182,343,"9,184"
1986,07/15,Ninilchik,24421,454,3,153,486,"18,779"
1986,07/15,Unknown,24430,117,1,115,96,"8,585"
1986,07/15,West Side,24610,,1,45,3,39
1986,07/15,,24450,,27,31,43,"1,833"
1986,07/15,,24460,65,"6,417","4,402","3,884","97,192"
1986,07/16,Cohn,24422,1,,4,1,130
1986,07/16,Ninilchik,24421,1,,1,3,47
1986,07/17,Cohn,24422,309,12,251,840,"47,011"
1986,07/17,Ninilchik,24421,671,6,147,"1,362","11,832"
1986,07/17,Unknown,24430,409,3,151,216,"25,469"
1986,07/18,#3 Bay,24790,,,13,9,372
1986,07/18,Beluga,24730,7,3,99,114,69
1986,07/18,Big River,24555,1,,290,14,91
1986,07/18,Birch Hill,24780,,1,7,26,53
1986,07/18,Chinitna,24510,,528,52,85,103
1986,07/18,Cohn,24422,116,11,270,770,"26,825"
1986,07/18,East Side,24620,24,8,"1,547","1,053","2,233"
1986,07/18,Fire Island,24743,,4,34,14,40
1986,07/18,Little Jack Slough,24550,2,259,544,240,611
1986,07/18,Ninilchik,24421,573,8,190,"1,906","11,974"
1986,07/18,Polly Creek,24540,9,230,726,36,"3,068"
1986,07/18,Pt. Mackenzie,24742,,11,17,18,95
1986,07/18,Pt. Possession,24770,,2,27,57,58
1986,07/18,Silver Salmon,24520,4,51,131,26,727
1986,07/18,Susitna Flats,24741,,39,100,72,146
1986,07/18,Trading Bay,24710,6,1,106,69,63
1986,07/18,Tuxedni Bay,24530,1,238,486,47,"2,508"
1986,07/18,Tyonek,24720,3,,53,51,196
1986,07/18,Unknown,24430,197,9,300,345,"57,417"
1986,07/18,Unknown,24440,41,3,152,100,"1,692"
1986,07/18,West Foreland,24560,2,,32,19,17
1986,07/18,West Side,24610,16,9,"5,423","2,210","3,545"
1986,07/18,,24450,16,"126,196","44,778","65,853","150,884"
1986,07/18,,24460,26,"153,426","59,068","92,915","274,774"
1986,07/18,,24470,,"2,802","1,394","2,318","8,713"
1986,07/18,,24570,3,"3,229","1,247","3,142","9,151"
1986,07/18,,24580,4,"18,516","5,966","11,799","53,313"
1986,07/18,,24590,4,"2,700",860,"1,646","8,235"
1986,07/19,Cohn,24422,393,15,446,"1,354","59,398"
